Developer,Latitude,Longitude,Place Name,Address
Konami Computer Entertainment Japan,35.6746501,139.7694867,Konami Digital Entertainment,"1 Chome-11-1 Ginza, Chuo City, Tokyo 104-0061, Japan"
Codemasters,52.2525618,-1.4200264,Codemasters Software Company Ltd,"Stoneythorpe, Codemaster Campus, Southam CV47 2DL, Vereinigtes Königreich"
On-Line Systems,52.22001890000001,6.901963899999999,Online Systems B.V.,"De Klomp 83, 7511 DG Enschede, Niederlande"
Hangar 13,47.08798179999999,8.294251899999999,Hangar 13,"Rüeggisingerstrasse 152, 6032 Emmen, Schweiz"
Bizarre Creations,39.492097,16.384037,Studio grafico bizarre creations,"Via Luigi Einaudi, 9, 87041 Acri CS, Italien"
Realtime Associates,33.9192,-118.4165,Realtime Associates,"""Headquarters: Zentrale: El Segundo, Kalifornien, USA"""
LucasArts,50.8612258,4.3673806,LUCA Campus Sint-Lukas Brussel,"Rue des Palais 70, 1030 Bruxelles, Belgien"
Falcom,35.7131,139.4085,Falcom,"""Headquarters: Zentrale: Tachikawa, Tokio, Japan"""
Relic Entertainment,49.2827,-123.1207,Relic Entertainment,"""Headquarters: Zentrale: Vancouver, British Columbia, Kanada"""
Pipeworks Software,44.0502517,-123.0948306,Pipeworks Studios,"133 W Broadway, Eugene, OR 97401, Vereinigte Staaten"
EA Los Angeles,34.0310674,-118.3114458,E.A no Game,"2071 W 27th St, Los Angeles, CA 90018, Vereinigte Staaten"
Jupiter,34.9858,135.7583,Jupiter,"""Headquarters: Zentrale: Kyoto, Japan"""
Retro Studios,30.4041472,-97.677253,Retro Studios,"12345 N Lamar Blvd #300, Austin, TX 78753, Vereinigte Staaten"
High Voltage Software,42.0656969,-88.1376047,High Voltage Software Inc,"2345 Pembroke Ave, Hoffman Estates, IL 60169, Vereinigte Staaten"
Gust,36.6513,138.181,Gust,"""Headquarters: Zentrale: Nagano, Japan"""
GREZZO,35.6762,139.6503,GREZZO,"""Headquarters: Zentrale: Tokio, Japan"""
Cyan Worlds,47.7907973,-117.3542002,Cyan Inc,"14617 N Newport Hwy, Mead, WA 99021, Vereinigte Staaten"
Reflections Interactive,55.0104856,-1.625694,Ubisoft Reflections,"Partnership House, Regent Farm Rd, Newcastle upon Tyne NE3 3AF, Vereinigtes Königreich"
Namco Bandai Games,35.6904,139.7005,Namco Bandai Games,"""Headquarters: Zentrale: Tokio, Japan"""
Intelek,49.1734027,16.6702563,"INTELEK LTD, organizační složka","Ericha Roučky 1291/4, 627 00 Brno-Černovice, Tschechien"
Playdead,55.6682342,12.5604123,Playdead,"Flæsketorvet 41, 1711 København, Dänemark"
Kojima Productions,35.6326782,139.743009,"KOJIMA PRODUCTIONS Co., Ltd.","1 Chome-2-70 Konan, Minato City, Tokyo 108-0075, Japan"
Evolution Studios,51.7481166,-1.2776747,Evolution Studios,"Unit 13, Kings Meadow, Ferry Hinksey Rd, Oxford OX2 0DP, Vereinigtes Königreich"
Midway,28.2072168,-177.3734926,Midwayinseln,"Midwayinseln, Kleinere Inselbesitzungen der Vereinigten Staaten"
SCS Software,50.0386112,14.4768048,SCS Software Ltd.,"Tomíčkova 2427/2, 148 00 Praha 4-Chodov, Tschechien"
Nintendo Software Technology Corporation,47.6738,-122.1215,Nintendo Software Technology Corporation,"""Headquarters: Zentrale: Redmond, Washington, USA"""
Ghost Ship Games,55.673735,12.590342,Ghost Ship Games,"Wildersgade 41A, 1408 København, Dänemark"
Max Design,47.3926,13.6814,Max Design,"""Headquarters: Zentrale: Schladming, Österreich (ehemaliges Studio)"""
